original_invoice_id,extraction_status,error_message,extracted_number,extracted_po_number,extracted_amount,extracted_tax_amount,extracted_currency_code,extracted_date,extracted_due_date,extracted_payment_term_days,extracted_vendor,extracted_line_items
20285610,success,NA,8354,NA,180.0,30.0,GBP,2022-03-14,NA,28,Guy Williams Layton,"[{""description"": ""To our professional charges: in relation to corresponding and monitoring instalments from the Defendant"", ""quantity"": 1.0, ""unit_price"": 150.0, ""total"": 150.0}]"
21196536,success,NA,72155870,ECPIT2115,285.6,47.6,GBP,2025-01-14,2025-02-28,45,EE Ltd,"[{""description"": ""EE SIM - Connected"", ""quantity"": 1.0, ""unit_price"": 0.0, ""total"": 0.0}, {""description"": ""EE Welcome Letter"", ""quantity"": 1.0, ""unit_price"": 0.0, ""total"": 0.0}, {""description"": ""Samsung A35 128GB 5G Enterpris"", ""quantity"": 1.0, ""unit_price"": 238.0, ""total"": 238.0}, {""description"": ""Delivery Charge"", ""quantity"": 1.0, ""unit_price"": 0.0, ""total"": 0.0}]"
14624199,error,Could not download PDF from URL for 26072019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13840583,error,Could not download PDF from URL for 08032018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20719875,error,Could not download PDF from URL for 02082023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14338880,success,NA,IN659167,12023,57.18,9.53,GBP,2019-01-10,2019-04-10,90,ELRING PARTS LTD,"[{""description"": ""MERCEDES HEAD SET"", ""quantity"": 1.0, ""unit_price"": 40.15, ""total"": 40.15}, {""description"": ""NEXT DAY CARRIAGE"", ""quantity"": 1.0, ""unit_price"": 7.5, ""total"": 7.5}]"
20112774,success,NA,I0222884,209664,911.7,151.95,GBP,2021-09-01,NA,25,IMPEX PARTS LTD,"[{""description"": ""478546010"", ""quantity"": 5.0, ""unit_price"": 151.95, ""total"": 759.75}]"
21095476,error,Could not download PDF from URL for 01102024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14878285,error,Could not download PDF from URL for 07022020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14903636,success,NA,4450067494,309709,281.94,46.99,GBP,2020-02-26,2020-04-26,60,Continental Automotive Trading UK Ltd,"[{""description"": ""Fuel Supply Unit"", ""quantity"": 3.0, ""unit_price"": 130.53, ""total"": 391.59}]"
13967029,success,NA,SL05006523INV,19483,140.05,23.34,GBP,2018-05-18,2018-06-30,NA,NORTHGATE Vehicle Hire,"[{""description"": ""V01 - Car Derived Vans"", ""quantity"": 10.0, ""unit_price"": 10.19, ""total"": 101.9}, {""description"": ""MAY DAY BANK HOLIDAY 2018"", ""quantity"": -1.0, ""unit_price"": 10.19, ""total"": -10.19}, {""description"": ""ABORTIVE COLLECTION CHARGE"", ""quantity"": 1.0, ""unit_price"": 25.0, ""total"": 25.0}]"
14396792,success,NA,25374,Durani,1586.1,264.35,GBP,2019-02-08,2019-02-15,7,Alexander Daniels Limited,"[{""description"": ""To supply the following: Baz Durani on a consultancy basis w/e 8/2/2019 - 42.50 hours @ \u00a331.10 per hour Your PO ref: Katherine Knight"", ""quantity"": 42.5, ""unit_price"": 31.1, ""total"": 1321.75}]"
20850722,success,NA,2257438719,400445,1556.52,259.42,GBP,2024-01-06,2024-06-30,NA,ROBERT BOSCH LTD.,"[{""description"": ""ESI 2.0 Master 12 months / Download"", ""quantity"": 1.0, ""unit_price"": 1523.0, ""total"": 1294.55}, {""description"": ""CoRe for ESI 2.0 packages 12 months / Download"", ""quantity"": 1.0, ""unit_price"": 1.0, ""total"": 0.85}, {""description"": ""ESI 2.0 Master 12 months AL / Download"", ""quantity"": 1.0, ""unit_price"": 1.0, ""total"": 0.85}, {""description"": ""ESI 2.0 Master 12 months AL / Download"", ""quantity"": 1.0, ""unit_price"": 1.0, ""total"": 0.85}]"
14594160,error,Could not download PDF from URL for 07072019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21199126,success,NA,809924,NA,527.76,87.96,GBP,2025-01-21,2025-02-20,30,Automint Ltd,"[{""description"": ""3603E Air Spring"", ""quantity"": 4.0, ""unit_price"": 108.61, ""total"": 434.44}, {""description"": ""FP005 Fitting Pack"", ""quantity"": 4.0, ""unit_price"": 1.34, ""total"": 5.36}]"
14597630,success,NA,27505,NA,3000.0,500.0,GBP,2019-06-30,2019-07-30,30,Logix Resourcing,"[{""description"": ""Consultancy for Glen Brampton, Project Manager, for days worked during 24-30 June 2019"", ""quantity"": 5.0, ""unit_price"": 500.0, ""total"": 2500.0}]"
19911308,error,Could not download PDF from URL for m0040012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20056358,success,NA,72798,404715 - 01/01/1900,224.4,37.4,GBP,2021-06-29,2021-08-14,45,GYS Ltd,"[{""description"": ""GYSFLASH TROLLEY XL - ND"", ""quantity"": 1.0, ""unit_price"": 187.0, ""total"": 187.0}]"
13650335,success,NA,31808,NA,301.06,50.18,GBP,2020-06-24,NA,NA,Complete Automotive Aftermarket Solutions Ltd,"[{""description"": ""619590652 - CSSP1224 - Fiesta Mk5 PAS Pump"", ""quantity"": 5.0, ""unit_price"": 50.175, ""total"": 250.88}]"
14975655,success,NA,4IN80513,MO212973,120.0,20.0,GBP,2020-05-20,NA,NA,Tollgate Tyre & Exhaust Centre Ltd,"[{""description"": ""215/60R16C 108/106T FULLRUN FRUN-FIVE 72EC"", ""quantity"": 2.0, ""unit_price"": 48.25, ""total"": 96.5}, {""description"": ""ENVIRONMENTAL CASING DISPOSAL"", ""quantity"": 2.0, ""unit_price"": 1.75, ""total"": 3.5}]"
20566585,success,NA,UKF090004,24029,836.0,0.0,GBP,2023-02-06,NA,NA,Euro Car Parts Limited trading as VEGE UK,"[{""description"": ""GearboxPeugeot/Ci C4/C4 Picasso/Partner/BerDV6 Gearbox# DP33/DP63/DP76/DPC3 Oem part 16077458"", ""quantity"": 1.0, ""unit_price"": 386.0, ""total"": 386.0}, {""description"": ""DEPOSIT"", ""quantity"": 1.0, ""unit_price"": 450.0, ""total"": 450.0}, {""description"": ""Deliver @Royal Mail Vehicle WorkshopUnit P Eastfield Ind'l EstateBaird RoadGlenrothes KY7 4NYTel 01592 772175"", ""quantity"": 1.0, ""unit_price"": 0.0, ""total"": 0.0}]"
20413640,error,Could not download PDF from URL for 03082022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20588045,success,NA,4450149843,231925,2007.46,333.18,GBP,2023-03-02,NA,180,Continental Automotive Trading UK Ltd,"[{""description"": ""air control valve"", ""quantity"": 8.0, ""unit_price"": 88.12, ""total"": 704.96}, {""description"": ""air control valve"", ""quantity"": 11.0, ""unit_price"": 88.12, ""total"": 969.32}]"
13998207,error,Could not download PDF from URL for 11062018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14264861,error,Could not download PDF from URL for 15112018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20000496,success,NA,352133540,000300354,49.21,8.2,GBP,2021-04-21,2021-06-30,60,LESJÖFORS SPRINGS (UK) LTD,"[{""description"": ""627112880 22704113 FRONT BMW"", ""quantity"": 3.0, ""unit_price"": 13.67, ""total"": 41.01}]"
20147895,error,Could not download PDF from URL for 08102021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20480909,success,NA,687260,229282 T2,789.36,131.56,GBP,2022-10-24,2022-11-23,30,Tomo Parts Ltd,"[{""description"": ""HOUSING-2498460 HM"", ""quantity"": 4.0, ""unit_price"": 164.45, ""total"": 657.8}, {""description"": ""You were served by Sonny"", ""quantity"": 0.0, ""unit_price"": 0.0, ""total"": 0.0}]"
14344852,error,Could not download PDF from URL for 15012019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13917770,error,Could not download PDF from URL for 25042018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20748265,error,Failed to extract invoice data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20668610,error,Failed to extract invoice data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21212846,error,Could not download PDF from URL for 05022025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13910222,error,Could not download PDF from URL for 20042018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20370749,error,Could not download PDF from URL for 16062022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20587791,success,NA,9581730473,5000023422,815.36,135.89,GBP,2023-03-01,2023-04-30,60,3M,"[{""description"": ""3M\u2122Blue Net Sheet Roll, 36465, 180, 70 mm x 10 m, 10 Rolls/Case"", ""quantity"": 60.0, ""unit_price"": 11.3245, ""total"": 679.47}]"
20219497,success,NA,EEC845446,24600028560,134.32,22.39,GBP,2021-12-29,NA,60,European Exhaust & Catalyst Ltd,"[{""description"": ""KIT716:TOYOTA AVENSIS T25 1.6"", ""quantity"": 1.0, ""unit_price"": 111.93, ""total"": 111.93}]"
13718384,error,Could not download PDF from URL for 18122017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13835161,error,Could not download PDF from URL for 06032018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20390017,error,Failed to extract invoice data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14419282,success,NA,GH658062,222634,680.0,0.0,GBP,2019-02-27,NA,NA,DHL GLOBAL FORWARDING (UK) LIMITED,"[{""description"": ""CARTAGE/HAULAGE"", ""quantity"": 1.0, ""unit_price"": 680.0, ""total"": 680.0}]"
20499516,error,Could not download PDF from URL for e0004011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14219761,error,Could not download PDF from URL for 18102018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13847880,success,NA,2222209855,262024,73873.8,12312.3,GBP,2018-03-12,2018-05-11,60,HELLA Ltd,"[{""description"": ""Compressor, air condition for SEAT/VW/AUDI/SKODA"", ""quantity"": 54.0, ""unit_price"": 105.0, ""total"": 5670.0}, {""description"": ""Compressor, air condition for SEAT/VW/AUDI/SKODA"", ""quantity"": 508.0, ""unit_price"": 105.0, ""total"": 53340.0}, {""description"": ""Compressor, air condition for SAAB"", ""quantity"": 9.0, ""unit_price"": 95.0, ""total"": 855.0}, {""description"": ""Compressor, air condition for BMW"", ""quantity"": 7.0, ""unit_price"": 145.0, ""total"": 1015.0}, {""description"": ""Compressor, air condition for BMW"", ""quantity"": 2.0, ""unit_price"": 136.3, ""total"": 272.6}, {""description"": ""Compressor, air condition for BMW"", ""quantity"": 3.0, ""unit_price"": 136.3, ""total"": 408.9}]"
20646464,success,NA,IN20523556,234629 BACKORDERS,1470.13,245.02,GBP,2023-04-20,2023-07-19,90,FAI Automotive Plc,"[{""description"": ""TCK295NG TIMING CHAIN KIT"", ""quantity"": 3.0, ""unit_price"": 170.34, ""total"": 511.02}, {""description"": ""TCK129WO TIMING CHAIN KIT"", ""quantity"": 8.0, ""unit_price"": 41.61, ""total"": 332.88}, {""description"": ""TCK79 TIMING CHAIN KIT"", ""quantity"": 3.0, ""unit_price"": 127.07, ""total"": 381.21}]"
14577082,error,Could not download PDF from URL for E3019303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14335604,error,Could not download PDF from URL for E3018991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14537542,error,Could not download PDF from URL for 30052019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19911732,error,Could not download PDF from URL for 20012021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14941902,success,NA,10061,NA,4347.29,724.55,GBP,2020-03-31,2020-04-07,7,ARCHIBALD IT CONSULTING LTD,"[{""description"": ""ERP Replacement: Consultancy Day"", ""quantity"": 11.0, ""unit_price"": 325.0, ""total"": 3575.0}, {""description"": ""Air bnb Cancellation Workington postponed Covid 19"", ""quantity"": 1.0, ""unit_price"": 47.74, ""total"": 47.74}]"
13931124,error,Could not download PDF from URL for 02052018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14415658,success,NA,66511773,NA,23.69,3.95,GBP,2019-02-28,2019-03-30,30,PHS Group,"[{""description"": ""Sanitary Disposal"", ""quantity"": 5.0, ""unit_price"": 3.948, ""total"": 19.74}]"
20383064,success,NA,488185,27351,31.94,5.32,GBP,2022-06-28,NA,NA,POWERFLEX,"[{""description"": ""FRONT ARM FRONT BUSH"", ""quantity"": 2.0, ""unit_price"": 22.65, ""total"": 18.12}, {""description"": ""DPD NEXT DAY UK MAINLAND 0-5KGS"", ""quantity"": 1.0, ""unit_price"": 8.5, ""total"": 8.5}]"
21214059,success,NA,UKF144058,SOUK076618,2650.0,0.0,GBP,2025-02-05,NA,NA,LKQ Group (UK) Ltd t/a Vege UK,"[{""description"": ""EnginePeugeot L 3 cyl. 12V DOHCHNP /HN05 (EB2ADT) Oem part no . 16 276 381 80/16"", ""quantity"": 1.0, ""unit_price"": 1900.0, ""total"": 1900.0}, {""description"": ""DEPOSIT"", ""quantity"": 1.0, ""unit_price"": 750.0, ""total"": 750.0}, {""description"": ""Deliver (Ref E21DDS) @Evans Halshaw VauxhallPriory ParkHull HU4 7DYTel 01482 357357"", ""quantity"": 1.0, ""unit_price"": 0.0, ""total"": 0.0}]"
19810687,success,NA,SI002096663,NA,537.6,89.59,GBP,2020-10-21,2020-12-31,60,Jack Sealey Ltd,"[{""description"": ""5W Inspection Lamp + 3W Inpection Lamp & Double Charger"", ""quantity"": 1.0, ""unit_price"": 66.47, ""total"": 66.47}, {""description"": ""Plier Rack 520mm"", ""quantity"": 1.0, ""unit_price"": 12.97, ""total"": 12.97}, {""description"": ""Turbo System Leakage Tester"", ""quantity"": 1.0, ""unit_price"": 62.37, ""total"": 62.37}, {""description"": ""Heavy-Duty CVJ Boot/Hose Clip Pliers Ear Type"", ""quantity"": 1.0, ""unit_price"": 12.58, ""total"": 12.58}, {""description"": ""Trolley 2-Level Heavy-Duty with Lockable Top & 2 Drawers"", ""quantity"": 1.0, ""unit_price"": 138.71, ""total"": 138.71}, {""description"": ""Brake Pipe Nut 3/8\""UNF x 24tpi Short Male Pack of 25"", ""quantity"": 1.0, ""unit_price"": 4.1, ""total"": 4.1}, {""description"": ""Brake Pipe Nut 3/8\""UNF x 24tpi Long Female Pack of 25"", ""quantity"": 1.0, ""unit_price"": 4.23, ""total"": 4.23}, {""description"": ""Brake Pipe Nut 7/16\""UNFx20tpi Male 1/4\"" Pipe SAE Pk of 10"", ""quantity"": 1.0, ""unit_price"": 2.16, ""total"": 2.16}, {""description"": ""Air Belt Sander 10 x 330mm"", ""quantity"": 1.0, ""unit_price"": 65.98, ""total"": 65.98}, {""description"": ""Valve Collet Remover/Installer"", ""quantity"": 1.0, ""unit_price"": 32.97, ""total"": 32.97}, {""description"": ""Suspension Strut Support"", ""quantity"": 1.0, ""unit_price"": 45.47, ""total"": 45.47}]"
20661486,error,Could not download PDF from URL for 25052023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19920489,error,Could not download PDF from URL for 29012021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19940714,error,Could not download PDF from URL for 19022021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14819934,success,NA,INV-005710,PO 9317,6464.75,0.0,GBP,2019-12-13,2020-01-12,30,Motivates Inc. Ltd,"[{""description"": ""Lifestyle voucher"", ""quantity"": 11.0, ""unit_price"": 5.0, ""total"": 52.25}, {""description"": ""Lifestyle voucher"", ""quantity"": 16.0, ""unit_price"": 10.0, ""total"": 152.0}, {""description"": ""Lifestyle voucher"", ""quantity"": 17.0, ""unit_price"": 20.0, ""total"": 323.0}, {""description"": ""Lifestyle voucher"", ""quantity"": 27.0, ""unit_price"": 50.0, ""total"": 1282.5}, {""description"": ""Lifestyle voucher"", ""quantity"": 34.0, ""unit_price"": 100.0, ""total"": 3230.0}, {""description"": ""Lifestyle voucher"", ""quantity"": 3.0, ""unit_price"": 500.0, ""total"": 1425.0}]"
21138938,success,NA,UKF138649,NA,650.0,0.0,GBP,2024-11-13,NA,NA,LKQ Group (UK) Ltd t/a Vege UK,"[{""description"": ""GearboxFiat Panda/500, Ford Ka 1.2i (51 kW169A4000 FP4 Gearbox# C514 Oem part 55223878/7172"", ""quantity"": 1.0, ""unit_price"": 325.0, ""total"": 325.0}, {""description"": ""DEPOSIT"", ""quantity"": 1.0, ""unit_price"": 325.0, ""total"": 325.0}, {""description"": ""MJBBernard PlaceBrighton (FY14 VVF)BN2 3ER"", ""quantity"": 1.0, ""unit_price"": 0.0, ""total"": 0.0}]"
20535589,error,Could not download PDF from URL for 05012023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20496353,success,NA,1018,NA,59.7,9.95,GBP,2022-11-11,2022-11-25,14,I Love Catering,"[{""description"": ""Lunch Option 2 (Meat)"", ""quantity"": 4.0, ""unit_price"": 8.95, ""total"": 35.8}, {""description"": ""Canned Drink (Diet)"", ""quantity"": 5.0, ""unit_price"": 1.0, ""total"": 5.0}, {""description"": ""Lunch Option 2 (Vegetarian)"", ""quantity"": 1.0, ""unit_price"": 8.95, ""total"": 8.95}]"
13912357,error,Could not download PDF from URL for 22042018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19993631,success,NA,1025946,MO242315,52.0,8.67,GBP,2021-04-16,NA,NA,Cavalier Garages Ltd,"[{""description"": ""Tyre"", ""quantity"": 1.0, ""unit_price"": 43.33, ""total"": 43.33}]"
20103138,error,Could not download PDF from URL for 19082021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14213413,success,NA,SI-00422178,SO-00501352,16.1,2.68,GBP,2018-11-10,2018-12-31,NA,The Tool Connection Ltd,"[{""description"": ""Punch and Chisel Set 5pc"", ""quantity"": 1.0, ""unit_price"": 9.92, ""total"": 9.92}]"
14698777,success,NA,ESI058222,NA,2320.56,386.76,GBP,2019-09-17,2019-10-17,30,Solera Autodata,"[{""description"": ""Diagnostic & Repair - 2 Users"", ""quantity"": 1.0, ""unit_price"": 1116.0, ""total"": 781.2}, {""description"": ""Diagnostic & Repair - 5 users"", ""quantity"": 1.0, ""unit_price"": 1356.0, ""total"": 1152.6}]"
20235653,success,NA,H0813588,NA,210.0,0.0,GBP,2022-01-13,2022-03-02,30,DHL GLOBAL FORWARDING (UK) LIMITED,"[{""description"": ""Dest. Detention Fee"", ""quantity"": 1.0, ""unit_price"": 210.0, ""total"": 210.0}]"
21232985,success,NA,A7460145333,NA,85.2,14.2,GBP,2024-10-17,2024-11-16,30,ATS Euromaster Limited,"[{""description"": ""DRIVERS NAME PETE WORK SHEET NO 15189062 INTERIM SERVICE FOR ECP REASON FOR REPLACEMENT NA POSITION ON VEHICLE NA TREAD DEPTH REMAINING 5"", ""quantity"": 1.0, ""unit_price"": 71.0, ""total"": 71.0}]"
14328943,success,NA,0000591408,38198,372.5,62.08,GBP,2019-02-01,2019-03-03,30,J&S PRODUCTS LTD,"[{""description"": ""Titan 50pc Torsion Impact Bit Set"", ""quantity"": 1.0, ""unit_price"": 56.97, ""total"": 56.97}, {""description"": ""PPTEK 5 Volt Adapter"", ""quantity"": 1.0, ""unit_price"": 18.11, ""total"": 18.11}, {""description"": ""Gearwrench 6pc Ratcheting Flex Flare Nut Wrench"", ""quantity"": 1.0, ""unit_price"": 78.9, ""total"": 78.9}, {""description"": ""Mechanix Original Glove Red-Large"", ""quantity"": 1.0, ""unit_price"": 13.44, ""total"": 13.44}, {""description"": ""Gearwrench 168 Piece 1/4, 3/8 Drive Metric Mechanics"", ""quantity"": 1.0, ""unit_price"": 143.0, ""total"": 143.0}]"
14327781,error,Could not download PDF from URL for 03012019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20280351,success,NA,I313993,BMA0166280,135.92,22.65,GBP,2022-03-07,2022-04-06,30,BAILEY MORRIS LIMITED,"[{""description"": ""PROPSHAFT BMW X3,2.8dX, X4,2.8iX L.734MM L=734MM, W-W=525MM, 95X4X8MM"", ""quantity"": 1.0, ""unit_price"": 100.77, ""total"": 100.77}, {""description"": ""1-20KG NEXT DAY"", ""quantity"": 1.0, ""unit_price"": 12.5, ""total"": 12.5}]"
19794567,error,Could not download PDF from URL for 06102020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13802512,error,Could not download PDF from URL for 14022018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14727120,success,NA,412347,27820,24.73,4.12,GBP,2019-10-09,NA,NA,POWERFLEX,"[{""description"": ""REAR ANTI ROLL BAR BUSH 18.5MM"", ""quantity"": 2.0, ""unit_price"": 16.45, ""total"": 13.16}, {""description"": ""DPD NEXT DAY UK MAINLAND 0-5KGS"", ""quantity"": 1.0, ""unit_price"": 7.45, ""total"": 7.45}]"
14399913,error,Could not download PDF from URL for 20022019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13835325,error,Could not download PDF from URL for 06032018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14457362,error,Could not download PDF from URL for 02042019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20173549,error,Could not download PDF from URL for 05112021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13836614,success,NA,SIND38941,SORD42001,2.81,0.47,GBP,2018-05-03,NA,30,Quest Consumables,"[{""description"": ""FLIP TOP SCRW ZP (WHT) 8X3/4\"""", ""quantity"": 1.0, ""unit_price"": 2.34, ""total"": 2.34}]"
13854161,error,Could not download PDF from URL for 16032018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20417011,error,Could not download PDF from URL for 08082022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14949721,success,NA,064498533,NA,279.58,0.0,GBP,2020-03-26,NA,NA,Andrew Page,"[{""description"": ""RADIATOR-EIS 203120040 - COOLING"", ""quantity"": 2.0, ""unit_price"": 24.81, ""total"": 49.62}, {""description"": ""RADIATOR 203441740 - COOLING"", ""quantity"": 1.0, ""unit_price"": 12.45, ""total"": 12.45}, {""description"": ""RADIATOR 203442200 - COOLING"", ""quantity"": 2.0, ""unit_price"": 12.71, ""total"": 25.42}, {""description"": ""COOLING 203442530 - COOLING"", ""quantity"": 1.0, ""unit_price"": 15.93, ""total"": 15.93}, {""description"": ""RADIATOR-EIS 203442560 - COOLING"", ""quantity"": 1.0, ""unit_price"": 17.93, ""total"": 17.93}, {""description"": ""RADIATOR-EIS 203442570 - COOLING"", ""quantity"": 3.0, ""unit_price"": 16.45, ""total"": 49.35}, {""description"": ""RADIATOR-EIS 203545171 - COOLING"", ""quantity"": 1.0, ""unit_price"": 23.48, ""total"": 23.48}, {""description"": ""COOLING 203545770 - COOLING"", ""quantity"": 2.0, ""unit_price"": 13.71, ""total"": 27.42}, {""description"": ""COOLING 203590700 - COOLING"", ""quantity"": 1.0, ""unit_price"": 14.08, ""total"": 14.08}, {""description"": ""COOLING 203600450 - COOLING"", ""quantity"": 2.0, ""unit_price"": 21.95, ""total"": 43.9}]"
19789229,error,Could not download PDF from URL for 30092020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13717771,error,Could not download PDF from URL for 16122017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20433602,success,NA,INV51824,NA,89.4,14.9,GBP,2022-08-26,2022-09-25,14,I love Catering,"[{""description"": ""Lunch Option 1 Sandwiches / 0% / NO"", ""quantity"": 5.0, ""unit_price"": 7.14, ""total"": 35.7}, {""description"": ""Lunch Option 1 Sandwiches / 100% / NO"", ""quantity"": 5.0, ""unit_price"": 7.14, ""total"": 35.7}, {""description"": ""Drinks & Extra's Individual Apple Juice"", ""quantity"": 5.0, ""unit_price"": 1.8, ""total"": 9.0}, {""description"": ""Drinks & Extra's Individual Orange Juice"", ""quantity"": 5.0, ""unit_price"": 1.8, ""total"": 9.0}]"
20913540,error,Could not download PDF from URL for 22032024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21213000,error,Could not download PDF from URL for 05022025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
