Invoice_Number,Date,PO_Number,GR_Number,Vendor_ID,Vendor_Name,Company_ID,Company_Name,Item_Code,Description,Quantity,Unit_Price,Total,Discount_Percent,Discount_Amount,Sub_Total,Tax_Rate,Tax_Amount,Shipping,Total_Due,Currency,Due_Date,Payment_Terms
INV-20250121-004,2025-01-21,,GR-20250119-004,V004,Office Supplies Co.,C003,Williams Enterprises,PN-001,Whiteboard Pen Set,10,12.00,120.00,0.00,0.00,120.00,20.00,24.00,0.00,144.00,USD,2025-02-04,Net 14
INV-20250126-005,2025-01-26,PO-20250115-005,GR-20250124-005,V005,Electronics Warehouse,C004,Taylor Industries,TV-001,Office TV - 55",5,700.00,3500.00,2.00,70.00,3430.00,19.00,651.70,250.00,4331.70,USD,2025-02-25,Net 30
INV-20250126-005,2025-01-26,PO-20250115-005,GR-20250124-005,V005,Electronics Warehouse,C004,Taylor Industries,PR-001,Laser Printer - Color,3,450.00,1350.00,2.00,27.00,1323.00,19.00,251.37,0.00,1574.37,USD,2025-02-25,Net 30
INV-20250129-006,2025-01-29,PO-20250118-006,GR-20250127-006A,V001,Your Office LLC,C005,Miller Associates,CH-002,Office Chair - Standard,10,75.00,750.00,0.00,0.00,750.00,17.50,131.25,100.00,981.25,USD,2025-02-12,Net 14
INV-20250129-006,2025-01-29,PO-20250118-006,GR-20250127-006A,V001,Your Office LLC,C005,Miller Associates,DK-002,Office Desk - Standard,8,200.00,1600.00,0.00,0.00,1600.00,17.50,280.00,0.00,1880.00,USD,2025-02-12,Net 14
INV-20250129-006,2025-01-29,PO-20250118-006,GR-20250127-006A,V001,Your Office LLC,C005,Miller Associates,LM-002,Office Lamp - Desk,15,25.00,375.00,0.00,0.00,375.00,17.50,65.63,0.00,440.63,USD,2025-02-12,Net 14
INV-20250203-007,2025-02-03,PO-20250120-007,,V002,Tech Solutions Inc.,C001,Smith Consulting,SW-001,Office Software License,25,200.00,5000.00,10.00,500.00,4500.00,20.00,900.00,0.00,5400.00,USD,2025-03-05,Net 30
INV-20250206-008,2025-02-06,PO-20250125-008,GR-20250204-008,V003,Furniture Depot,C003,Williams Enterprises,SF-002,Office Sofa - 2-seater,4,550.00,2200.00,5.00,110.00,2090.00,15.00,313.50,300.00,2703.50,USD,2025-03-08,Net 30
INV-20250206-008,2025-02-06,PO-20250125-008,GR-20250204-008,V003,Furniture Depot,C003,Williams Enterprises,LM-001,Office Lamp - Floor,6,45.00,270.00,5.00,13.50,256.50,15.00,38.48,0.00,294.98,USD,2025-03-08,Net 30
INV-20250209-009,2025-02-09,PO-20250128-009,GR-20250207-009,V004,Office Supplies Co.,C004,Taylor Industries,PP-001,Copy Paper - A4,80,4.50,360.00,2.00,7.20,352.80,20.00,70.56,50.00,473.36,USD,2025-02-23,Net 14
INV-20250209-009,2025-02-09,PO-20250128-009,GR-20250207-009,V004,Office Supplies Co.,C004,Taylor Industries,PN-001,Whiteboard Pen Set,25,12.00,300.00,2.00,6.00,294.00,20.00,58.80,0.00,352.80,USD,2025-02-23,Net 14
INV-20250211-010,2025-02-11,PO-20250128-009,GR-20250209-009B,V004,Office Supplies Co.,C004,Taylor Industries,PP-001,Copy Paper - A4,20,4.50,90.00,2.00,1.80,88.20,20.00,17.64,25.00,130.84,USD,2025-02-25,Net 14
INV-20250214-011,2025-02-14,PO-20250201-010,GR-20250211-010,V005,Electronics Warehouse,C005,Miller Associates,LP-001,Laptop - Standard,5,975.00,4875.00,0.00,0.00,4875.00,19.00,926.25,100.00,5901.25,USD,2025-03-16,Net 30
INV-20250214-011,2025-02-14,PO-20250201-010,GR-20250211-010,V005,Electronics Warehouse,C005,Miller Associates,CB-001,Network Cable - Cat6,25,15.00,375.00,0.00,0.00,375.00,19.00,71.25,0.00,446.25,USD,2025-03-16,Net 30
INV-20250214-012,2025-02-14,PO-20250201-010,GR-20250211-010,V005,Electronics Warehouse,C005,Miller Associates,LP-001,Laptop - Standard,5,975.00,4875.00,0.00,0.00,4875.00,19.00,926.25,100.00,5901.25,USD,2025-03-16,Net 30
INV-20250214-012,2025-02-14,PO-20250201-010,GR-20250211-010,V005,Electronics Warehouse,C005,Miller Associates,CB-001,Network Cable - Cat6,25,15.00,375.00,0.00,0.00,375.00,19.00,71.25,0.00,446.25,USD,2025-03-16,Net 30
